10000 20000
989 1672 1532
8475 4226 5774
2809 2083 4115
965 8977 7700
5069 694 1450
1976 7199 315
5336 8729 1497
1547 6268 7539
5692 1847 754
8914 6357 4861
5206 8290 2922
2102 5351 2271
6725 4060 4257
3912 292 388
3377 908 4249
6939 5548 4433
621 3182 5327
5595 5328 2097
3916 6998 542
4305 8168 3108
8493 4175 7377
3763 9539 6139
3136 1217 3330
5924 725 1723
6964 2551 2009
3308 3814 1377
494 9658 3161
8638 4693 2123
8216 2207 6877
1349 2568 5127
9479 9378 5513
7741 2685 5854
7789 4172 7704
4235 6097 9048
6736 5050 7242
4581 9370 2969
9992 2310 5233
3231 1724 4361
8544 9933 9740
8385 9225 2293
341 9479 8414
6547 8965 8967
9531 3806 2029
3414 311 239
8235 711 8767
135 6280 6296
6746 9258 7484
3419 2288 6232
6613 5555 8125
1256 5725 8198
9895 8178 5951
2773 4857 3307
1001 2598 3631
81 5905 7699
2417 8515 7067
5941 1071 7484
5491 4824 9973
638 154 154
2891 3788 3857
5246 7851 4631
6756 3337 4629
5424 1059 3856
4264 6980 8984
3978 8802 7008
5514 7729 2852
2034 8665 7658
8273 7150 442
9425 6765 9881
8663 4736 287
4530 8038 234
1120 9198 4515
876 3981 3625
1873 5627 472
2874 9502 6695
990 5850 8034
3073 6441 3311
3900 2793 5628
9978 9359 5936
1154 9670 1000
7804 1463 9495
9426 7797 1810
9631 295 2428
5776 9586 8498
6641 7447 4391
9158 5030 1427
2591 8402 147
5501 962 4274
9269 6142 7825
3035 6594 7121
428 4163 893
5065 4696 6206
5713 8117 3676
899 6020 7897
8863 5865 615
1975 7744 6487
1499 1554 382
5415 743 1379
6186 7408 2262
2941 7187 8674
1524 9750 2452
618 1760 1360
6524 9512 4914
5951 4047 4284
3011 8451 8972
864 3874 7471
3164 9984 6591
7705 808 2769
3777 9562 719
931 1638 3281
3370 7930 378
7418 2663 368
6499 4910 8197
774 5722 6320
9018 7299 7759
7628 6003 8560
8940 6497 2823
6074 6799 429
6788 902 6762
5944 8222 7571
9512 5676 9616
8383 4315 1114
8490 8348 9359
9895 5784 3285
3891 1082 8534
9416 7430 1071
9246 6781 9692
5232 9140 7127
1688 4678 3794
6738 9886 406
3057 1773 4391
565 1542 4180
9610 8721 4602
8737 9073 3633
4334 9145 6270
4790 1122 8069
9541 1073 1567
5484 5220 333
4023 8912 1743
169 9294 814
5340 2024 5764
4775 5855 4603
7799 2922 7742
456 9919 24
6501 2808 169
5594 1612 9858
1939 3919 7680
7437 3478 1893
3142 1061 7357
6653 5063 8183
4164 1569 9660
4445 470 7172
571 5065 1795
3928 1912 665
8483 6314 3688
8994 5740 4992
1440 3353 7740
1361 9802 8664
2118 8880 8946
201 6703 5430
178 49 694
5433 2232 4295
8524 1926 8785
3196 1756 5373
4042 8799 4368
7364 6669 3753
2058 84 745
3590 5450 6995
4970 6938 7083
1408 4758 5735
9601 2170 7141
2024 6442 4966
7948 2451 2012
8487 6702 305
4175 6878 2471
2213 5348 3123
5877 3508 7049
8749 7798 2937
7588 7448 2199
685 4810 9420
5422 1015 1093
2999 4531 4953
3120 535 3209
1725 7951 7746
6016 9660 3653
5648 4396 4023
2807 2704 4333
2123 1480 3239
6515 8401 3830
1395 9564 3783
4158 9830 2182
8211 8793 7637
4633 4543 2999
4952 6301 2541
1586 641 4787
3441 6902 7324
4540 6630 3181
4004 1844 7324
7967 1746 4230
4662 923 7824
6427 1652 8422
5924 8005 8898
989 5789 2398
219 5823 2311
8747 1128 5786
3047 2710 1495
2533 116 605
1807 5601 2573
2638 4784 8328
7376 3042 7072
2107 1888 850
132 6334 2590
3815 3364 6699
1933 8856 9015
4067 1618 199
8204 2693 3459
2250 1173 7253
5536 1862 3829
8979 2595 2675
4208 2862 3816
1296 3017 8375
5889 1059 2250
9297 3183 9774
2857 5845 8718
6625 8554 5347
4037 3715 4638
5102 6932 161
1969 6320 8341
3672 3925 5052
699 5718 1164
9198 8720 773
5126 9400 5120
8091 8760 7003
8372 8740 3177
5819 3420 1041
208 7335 5885
7694 683 784
2391 1376 8449
9793 4500 6147
6242 7072 3092
7700 8358 3008
1804 1327 9030
9800 3152 2716
4286 3202 5796
4249 8644 8568
7000 4291 3376
6567 3028 7196
3742 1451 8396
7302 6024 4551
1052 7098 6936
718 5578 447
4574 3429 3685
7160 563 6038
1533 8474 7802
3692 4172 3293
9288 6796 5598
5763 2902 2378
8437 4078 788
9278 7965 9560
7864 6360 1244
7586 2943 1781
6114 2998 4995
9327 6694 9583
4692 1116 9874
1501 4517 6903
8890 759 5303
8752 2036 64
1364 1447 4292
2232 3600 5105
9173 8413 8279
6533 4869 5718
2510 7871 2110
6410 5930 8479
4408 907 66
7088 9020 2134
1895 88 2719
1718 1281 7035
2136 2585 3292
7766 4073 2673
699 8019 1730
6836 48 4476
7210 2024 4833
4490 3115 365
9343 900 8289
7195 8004 6126
4793 4702 1851
5305 6864 4451
6170 6935 2482
2212 771 3457
1159 5129 7110
8741 2860 82
7492 4729 9075
3221 444 2856
461 3230 4176
2748 8000 851
5950 3312 7144
6075 7580 6952
8869 6895 7011
7426 1906 2575
5761 2367 2562
5721 9655 2618
2362 6906 1071
1872 9457 7449
1153 4125 8189
2687 8076 1992
4229 168 9888
8528 5738 3715
2133 2463 8631
5409 6090 2984
9776 2055 1215
962 1786 446
3384 2681 7004
16 7260 8267
6974 9611 1839
4571 8593 9201
1404 8211 9028
5490 37 23
7776 8035 7251
639 9556 5899
8153 4818 2748
1250 2085 4257
5770 5054 3623
7317 5361 9129
3697 7415 9894
9218 4434 6991
4509 3143 3348
5000 6630 610
2067 2550 6152
1311 9690 4369
1582 2044 5134
5607 7862 5204
4305 7025 329
6628 7083 5675
1520 2553 3004
4575 1105 9496
2405 5453 1476
9403 339 4225
7484 5836 5876
1911 4285 8836
5862 3699 7915
7849 8374 1319
1081 9848 8430
8713 9336 6715
7622 4295 5472
6331 7728 8532
6229 5717 2001
5189 4 4648
1440 5280 804
143 222 1579
970 7332 547
2664 4982 3098
8288 5516 1967
6161 6832 6365
5676 4183 1544
6060 2194 9140
9578 9200 5951
3097 7331 4415
4426 6236 316
8310 4187 7965
325 297 3320
3970 4625 4419
2501 6348 5967
52 9468 7937
1483 6438 5327
8577 3963 7966
5478 5909 8748
6513 8403 3645
3466 5050 6586
8581 2187 882
1891 732 8722
1510 2890 342
7523 1429 1923
9106 8645 8188
3384 2953 5156
6058 6505 5345
6226 6451 31
2817 1401 828
7961 8044 6149
1936 9400 3853
5059 7722 4066
7350 9549 979
8074 8772 3700
2043 3518 8870
4702 3940 7502
4909 9969 2774
1305 6189 6919
2704 204 3006
3543 5800 70
3247 8244 5629
4032 3856 3385
7417 7945 8864
244 6448 815
4078 1762 9054
9529 934 4737
4021 5063 7217
6193 3610 5965
2609 3888 4651
7915 6623 1452
8196 2762 5294
741 5412 5811
5070 1675 1136
6298 2616 6434
341 5538 3026
7277 9768 5433
3252 9990 5187
2923 4477 7149
3800 5285 1797
7528 1485 426
2282 7164 6681
2692 5914 2070
4245 5795 4619
302 4815 2464
8619 4078 2595
6566 1963 3233
4173 2760 6297
3807 4616 4907
2013 7427 2167
6613 5640 7186
7280 9243 4798
1519 1418 8294
6215 8747 1370
1819 8121 2210
422 8541 6719
755 4144 8353
9888 5108 2031
9839 3463 4000
303 4117 6534
4373 1174 3484
1261 5962 4264
4636 1996 5345
6621 6438 9090
2831 2217 8314
3891 893 9665
7795 9682 1263
3130 1601 8356
9478 2250 8740
7957 6448 8477
6625 5221 574
2739 9886 4152
5720 2031 6181
7044 877 282
2490 2523 48
9333 1510 2542
8293 7944 8836
84 7052 7386
1084 3353 3063
7094 4343 3033
4376 4770 2710
4454 9096 1762
1845 5667 9205
8959 1585 6815
4845 9272 1914
8237 7955 1658
553 3577 9501
772 3055 7981
5532 8564 1404
7528 1351 6314
8148 5372 5892
7878 4702 8934
6239 2449 6459
5810 6408 1544
101 1002 3605
6691 5159 2732
8689 3815 4765
4711 7698 2753
2993 6290 7302
8125 6241 9185
3326 3791 4480
2351 7630 6937
5373 6490 8104
4053 107 2595
9554 8319 4464
9133 3657 3800
3073 3693 8697
4558 6058 8759
2062 3543 5984
922 5673 6245
3212 2331 6392
988 100 9009
8499 4347 8541
1599 1064 9097
4388 3092 1929
934 8936 4992
831 1917 1967
8452 1171 4681
7322 5558 8602
8649 3379 8857
9941 5552 5394
2384 3837 6547
3422 3444 425
4246 9093 6559
8986 9586 6543
1954 6240 9006
7531 6649 2426
7635 7055 583
1745 575 6596
6039 1669 7643
6376 9180 6369
6323 7506 4014
7916 1057 4992
8479 1263 6592
3914 4661 458
4417 5764 4423
3585 9428 6511
3474 9325 7260
3398 964 4702
1236 2146 9662
4442 7582 7905
4688 2025 96
8046 2182 8848
5817 9854 88
7207 2801 3065
5703 2504 2003
831 802 2694
2875 9897 4883
9478 5802 5014
3725 1776 6128
7415 4199 7999
2905 6958 7581
5211 801 5642
7160 441 9266
8674 1778 2961
3157 3901 5324
290 1368 7187
4976 2221 6819
9582 5896 6678
907 760 6602
9204 5264 3811
4974 3937 1211
6267 1573 8251
6283 3562 5380
1026 3052 2974
822 1304 4714
916 6317 8660
9711 5506 3998
3009 1159 591
9346 7140 4619
2362 4645 8059
3384 4898 7858
3466 420 1879
9693 930 3527
4302 9146 9796
4901 695 6185
7736 9038 7744
2307 3428 9067
2939 3008 2374
2554 4680 2280
6227 6412 3882
9524 8801 8144
290 4209 3895
1967 9258 3273
9516 8767 2537
1495 1621 9917
2116 2314 7016
7016 6633 485
3203 626 9465
7343 2524 5461
4662 2135 7193
1624 361 2570
710 9366 2853
2364 3219 248
4021 2069 4115
8455 7500 8132
3968 4710 3144
9533 2188 2818
4702 4037 9960
417 7133 4192
6737 6907 5301
8790 2885 3592
2423 474 9936
3999 5347 3397
7131 7592 4030
1486 5267 9147
1704 8361 4307
6626 2194 4770
4252 7768 6959
8499 6069 1887
604 6673 4110
2812 300 7442
7888 5373 6037
7646 8483 243
7022 2090 4733
2108 7336 1262
8504 4533 9130
745 9315 1286
1698 7872 6030
5760 4672 7286
2322 9200 9332
9723 8913 9058
6207 9734 1079
7756 6189 5903
4714 7062 3333
9053 1495 6050
2325 6155 6695
2130 2172 1762
9773 1765 4368
8492 2440 8836
5805 9664 7170
724 3637 8026
1291 4672 8535
8390 4972 6134
4671 6472 6407
2713 6728 3388
6936 6220 5683
4868 4122 4110
8795 2859 5942
7543 3861 3190
4417 6417 1950
4370 7086 1584
946 1831 4068
38 7543 3650
6157 3240 5331
8350 5338 164
1262 6757 6242
7132 5204 7416
2515 6748 238
4010 4691 7695
8997 6901 8597
9325 5864 8792
5751 6463 8505
2560 6817 3296
3583 2708 5893
603 3025 4607
8101 9537 119
6619 7354 4762
7809 4887 1890
2397 1842 2717
2885 6961 9173
4293 7278 2478
4743 4442 8651
6982 3679 8221
9209 7023 7967
553 5171 9446
846 2234 7777
8259 3245 6020
2001 7225 7509
9003 688 7716
6933 427 4943
1044 5020 2194
1327 9244 6529
8691 3460 8108
3258 1804 433
8640 7190 7230
1973 28 5445
721 5152 7139
3966 3446 9832
1040 7777 6631
7234 4252 3109
2170 1335 639
2114 9313 4206
9981 769 633
1086 8879 5736
6644 7440 8878
3367 3858 1862
4499 2075 8653
6910 3280 607
9620 8981 4409
5780 55 4905
302 3054 4007
4990 3441 4881
4453 7964 3049
8381 2865 116
5611 6270 3081
4521 1752 5968
2681 1284 6755
8725 8201 5829
2117 1487 502
6383 8821 2575
9390 2335 7290
8929 4994 7975
777 9285 9036
4304 7729 7883
4842 370 5315
1017 837 9343
2886 8562 8256
2853 8531 673
8725 7987 9797
756 548 1039
6761 3926 7045
7804 4651 2575
6420 234 8187
6676 9078 1545
2469 1740 8819
8347 1922 5089
9951 8394 2015
2121 1759 967
9010 3549 4751
5610 5316 1553
5835 1117 296
3962 7414 3075
6089 1651 5761
3879 3003 5517
4029 5568 1004
2377 3076 9213
4904 1686 7301
7779 8043 5933
4719 4203 3457
3966 5645 9362
9653 2196 2076
7500 3991 3360
6693 6303 5615
7824 3718 9733
6007 8626 6941
674 3429 8854
5785 2102 5519
7213 6363 2326
4260 1321 8404
9393 1587 6951
8255 2313 3557
8748 9871 8021
7711 7372 9774
1245 9909 9251
2145 1609 9897
3970 7184 5832
7264 5398 4072
9717 1130 2479
6780 6762 6171
6303 2045 3768
3238 7182 7652
5611 5773 9321
1573 1682 278
4161 4892 2083
8507 9890 2392
4590 9633 8047
4598 7979 157
4063 2938 5968
4479 8385 2099
7237 1527 2449
3916 7810 8604
7576 8793 7429
1935 5731 5262
5723 4367 9241
1757 8681 5241
9315 93 1305
1965 8189 7212
8451 5539 6823
4844 5990 8216
4178 4533 8595
1830 9664 8909
2271 8043 119
6745 9471 3089
5647 5230 3285
6896 9954 2402
8151 7973 339
5026 2711 2505
161 407 982
153 5465 6938
6933 6421 9280
1417 1837 4629
1401 8369 3617
9373 9130 4112
9654 5408 2725
3112 7139 7309
8301 7641 4770
4478 183 1047
8296 7057 2764
796 496 9756
8920 488 9998
6898 6702 5504
7903 4379 8596
44 5560 3793
856 8433 8730
3423 671 5770
6018 7936 1166
6816 6219 2321
4021 7330 8626
8241 7630 3699
4700 4333 3556
6032 2775 9025
1208 8217 3149
5709 9570 4849
1249 7092 5592
6982 1423 8273
9591 4109 1100
9642 9211 1275
9013 6363 6349
2066 2524 8309
4716 7041 4332
9443 7636 4091
1628 8724 8907
5262 3307 530
157 3975 1104
1065 4524 3100
2264 8567 6711
9317 5315 7565
5186 9578 7426
8421 8667 451
2747 5618 5722
8477 8734 9824
7869 23 3490
4811 3426 7078
2152 5545 2403
9635 1730 3496
436 9171 1567
7480 3030 645
5571 8338 4368
2060 7920 1436
6621 1331 620
9982 9619 8810
8759 1598 1576
6150 3377 3957
9385 3655 4036
2651 8452 9681
8712 8869 312
6401 9882 613
603 4268 2638
6471 1162 4890
5475 2146 3093
4624 2561 776
1974 7849 4341
5521 332 853
909 8650 6177
7020 1480 4805
6478 8281 2097
2699 4648 9679
1980 2648 1005
3121 8504 6335
7345 6410 8234
8522 3193 51
9811 6421 3073
3650 1361 825
35 1565 9537
2798 2877 8813
2239 6750 798
1822 9222 3876
1982 5210 5434
7888 7813 3167
6773 4121 9071
6129 5761 5655
9082 8480 5317
9105 4784 9593
8274 3114 7990
8294 2234 1714
5363 5933 6448
8655 4979 7773
5893 9133 3426
8807 7114 2564
2183 5241 5551
1703 7357 7860
3366 7787 8539
773 9563 3947
8826 406 6199
4213 8318 4531
7241 9135 2558
971 1547 1047
7592 5791 9623
2502 5261 4325
9648 6263 8842
6648 849 626
7884 7029 5778
2452 7254 1372
8776 5034 8281
4523 6136 3064
3363 4398 3961
2502 5384 7944
1786 2278 8441
6865 5754 6626
6302 2892 6600
4021 9019 8667
9858 5932 7141
9646 5668 44
8426 3790 4364
2065 1508 4563
5609 7558 3128
6908 2534 5145
7240 3633 8566
1727 637 8784
4109 7378 6475
1587 3908 331
6335 9508 8796
8752 311 9797
5299 3275 2168
8386 9175 9859
4215 475 5973
4650 346 2774
5321 5048 4925
6262 4059 8176
3820 6317 6816
2996 1794 4791
4855 5279 4055
626 6120 6792
808 8793 8100
4800 4425 5397
3225 6376 8391
4308 7305 3146
2918 3017 5695
5601 5954 5439
520 4853 8435
594 286 7406
477 5560 2829
8713 9823 4136
3884 3108 4083
6002 727 4123
9665 1671 9626
7422 7330 8014
7103 6934 5515
1085 7787 6089
6311 426 3736
5650 5464 7842
100 6567 6355
4250 9207 3455
4688 4821 2822
4733 9866 9898
4300 6039 9479
263 919 6700
9857 1275 5708
6903 2008 1476
7403 3473 8052
3395 615 8173
9402 5388 4850
3287 3076 9739
7504 1268 2969
2572 9589 9273
4558 9608 8462
2573 6466 2892
1235 1446 1151
4321 4278 3256
7019 193 9679
8479 6267 1832
359 8045 7873
5301 3197 9162
5107 3993 8947
4897 9243 6161
7417 8053 3649
8740 2476 7198
778 6439 9065
8485 8219 3380
6867 1997 2298
2449 3482 9946
5766 5222 5781
1706 9844 1954
733 7628 15
8494 3060 7330
8416 119 8565
8164 1810 1519
8578 1410 5056
1127 8606 2286
6575 8787 7016
6950 6742 1049
6963 4194 5308
8844 2523 8281
3713 2131 9761
4441 7048 2748
6973 5818 6446
1139 13 9199
7807 9252 8894
2840 1594 3099
7678 735 730
7013 8796 7783
7484 8406 7630
534 6780 1861
9691 3507 794
3354 8839 2988
1587 6076 9040
7739 1355 9673
6757 6616 8184
6681 2453 4563
2905 3437 9117
7772 9300 9776
3335 271 8389
6270 2595 5324
9935 3626 7155
4303 9617 5930
8033 4369 7350
1130 6592 5713
1300 5039 3480
8023 6938 9848
6166 6916 1954
4324 5952 227
3907 7062 8284
8535 9795 5941
1202 7464 97
1534 3230 7925
7980 6518 751
1062 3431 4210
9881 2853 8292
7215 895 2656
7924 4450 3698
9342 8258 1245
3884 6194 5108
9454 149 4979
6558 7179 6272
3576 1809 1965
9989 2326 1634
9333 199 3801
6376 7798 5642
1802 5924 4634
1240 7895 8961
1574 9720 7311
4599 3586 1875
1451 7844 9259
7684 1312 964
6048 8576 2260
5617 7019 8152
9650 602 493
7518 7619 661
1478 1972 3001
1786 6467 2883
4190 2282 1616
1198 5300 571
8814 3645 3468
408 3044 247
5880 8295 5000
8350 8361 1425
2220 3636 1675
5319 1543 6013
2631 6904 3268
9173 2927 9154
5124 7224 7670
2039 4313 7203
1424 9588 3385
3086 7895 957
9440 6045 3479
6977 8288 5647
2403 5474 1323
1540 8156 3605
5522 6844 4027
7338 1979 7590
580 8033 9267
1696 6643 651
504 3924 6878
6501 3046 1574
3824 7772 1797
8731 9437 6856
1066 6161 569
3093 2709 4521
419 8179 1106
9879 7934 2955
8713 1178 7403
3013 4424 4621
2648 8701 3477
1936 8555 2076
7184 5004 5246
9872 5865 7627
8823 426 4797
8633 7485 114
5364 1843 567
8866 5245 6138
4252 5812 9589
3295 42 2750
4127 9547 1698
9385 1895 971
7653 2211 4450
5569 3273 5567
7545 5180 7309
2856 4163 4251
8595 8326 5569
8114 51 9432
813 891 5507
6541 2945 5728
9114 3746 9456
6799 3396 1626
624 8124 5866
3443 7448 4692
3223 8434 1610
6460 2111 2070
4831 4281 3988
5997 6508 255
4107 5660 3677
9517 8300 4055
5637 2489 9135
3118 8761 6405
7247 7204 6256
8144 7147 9451
6588 9186 2821
8087 7199 6998
5867 3072 4079
11 538 8081
5703 4310 8427
3488 7939 67
4426 7665 3818
8238 3212 4920
8067 7829 977
6780 5769 1666
2424 6017 5515
6115 6030 2647
2726 3828 6604
8243 9993 812
6981 964 9175
2280 6066 209
4636 4081 9595
2107 6171 4650
169 9810 647
4935 146 7863
6524 2351 7860
5433 3854 8980
9445 3127 3115
1548 6838 227
9286 3065 4644
5033 5301 4185
3975 2957 4753
8661 3811 5342
4020 1269 6808
1445 2851 5454
2422 3141 3847
2116 9521 4027
6505 2874 533
5590 7007 8411
5241 7987 8338
5280 3565 287
7543 231 9637
723 5148 5400
3299 4397 5333
1428 6887 5245
3202 4450 5843
4187 5104 5727
4988 5158 734
6497 374 464
8639 1631 9533
6307 8512 5719
3694 2209 5339
5595 2761 969
9213 9222 1101
968 3427 2911
6173 8766 5481
3078 3856 9569
9301 6011 7169
1293 937 3350
2181 991 8788
3986 8812 2223
6965 9949 6549
9059 6402 9763
996 6112 1318
3364 7394 6475
1939 8034 6588
7785 3675 6021
6041 5990 4718
1221 3094 8164
4753 6972 5229
7743 4108 2180
9964 6205 9147
2060 751 5222
2648 1183 3236
9624 1923 8565
814 4823 4350
8448 1893 4873
7424 5605 392
4656 7149 8684
9475 1142 7490
3099 6534 7819
9159 3618 6504
3664 8263 4301
2031 4282 5787
9021 7744 5799
8636 635 9324
9178 6342 8758
8742 7506 4118
6797 1548 590
4618 7671 7618
8509 5371 3258
6415 1708 5196
7405 9090 2179
1003 6363 6512
4234 7349 5220
9302 5335 3815
8488 4194 3632
76 3409 1012
9795 5421 5397
8809 603 2423
4227 1321 8489
6614 98 4785
6325 8893 1106
3891 4807 5428
4758 5676 6983
