1000 1500
347 934 534
791 113 902
639 94 506
417 50 935
142 25 24
395 552 542
393 266 312
152 49 837
952 701 795
523 680 581
621 779 610
438 138 804
621 411 259
501 507 499
638 712 13
163 112 571
808 53 705
192 456 320
585 488 217
244 683 692
453 948 972
65 758 54
192 846 933
774 473 33
250 130 393
40 521 943
4 651 134
437 833 383
451 251 366
517 452 395
977 318 956
236 328 797
928 880 902
859 535 718
465 340 958
203 397 322
679 512 846
662 772 436
974 294 177
771 923 831
623 236 52
878 48 663
270 72 155
76 41 978
4 846 72
325 694 564
727 371 690
324 258 154
221 733 633
451 126 567
537 375 885
15 232 814
971 74 855
617 656 222
845 935 156
264 414 664
674 67 601
155 297 294
541 8 776
852 651 406
392 276 315
33 397 354
29 951 488
425 838 323
23 2 379
964 241 935
234 748 335
139 12 279
363 700 19
154 818 34
355 192 164
733 482 167
579 128 522
881 367 781
527 988 443
272 161 739
153 380 299
471 111 839
983 557 233
773 322 514
410 837 922
230 932 566
681 891 826
119 273 404
444 635 698
858 386 367
527 80 758
429 594 254
64 683 509
941 911 679
164 720 269
138 568 825
989 279 850
985 336 378
131 360 925
982 64 235
399 119 122
962 753 8
903 924 711
91 679 950
606 384 410
5 163 193
308 600 79
634 467 574
846 869 974
940 634 810
255 749 872
542 25 52
582 105 736
644 867 472
372 28 380
11 949 655
206 181 894
608 514 504
19 700 814
800 134 494
616 243 831
149 801 289
967 150 239
657 633 228
850 24 213
529 210 128
485 351 881
378 700 575
554 510 383
784 615 133
462 276 885
672 163 519
672 720 207
433 130 939
192 433 384
177 125 459
625 734 273
540 903 556
396 727 555
480 87 456
776 732 35
114 184 965
344 815 386
533 695 83
157 107 258
177 354 104
251 842 798
976 491 333
117 409 745
428 792 462
896 285 635
245 618 626
119 509 871
256 134 302
910 450 651
633 738 2
182 173 665
994 813 272
782 921 511
1000 997 193
584 82 585
619 916 359
368 431 706
348 985 740
701 234 127
717 619 210
756 250 88
18 279 882
350 299 890
848 902 68
232 822 183
911 870 919
426 745 644
714 589 125
400 34 271
613 977 521
384 456 442
265 171 547
784 288 945
53 990 86
357 941 685
517 286 62
19 504 183
660 310 510
307 147 315
310 970 179
109 624 134
19 714 8
513 653 778
581 563 416
440 839 746
401 370 390
1000 738 841
729 996 864
616 603 628
789 125 771
51 837 730
122 407 439
120 712 41
314 238 182
918 431 636
616 620 150
789 380 302
408 331 949
168 377 925
271 608 769
4 504 380
747 419 700
439 957 915
599 899 70
418 980 872
542 631 27
710 357 971
340 968 333
512 466 170
954 311 198
863 632 468
266 223 87
946 626 339
867 725 213
957 147 534
887 6 514
111 317 510
773 930 213
90 945 914
147 387 864
849 108 973
988 971 443
388 950 925
73 175 579
11 924 996
49 334 725
163 947 418
421 557 300
716 177 744
833 564 180
927 9 613
476 721 722
443 84 152
673 353 573
903 56 531
776 575 903
487 976 481
43 628 373
751 176 150
231 183 807
679 759 779
401 396 850
539 703 277
452 918 92
947 621 926
422 967 379
93 556 50
908 943 207
870 152 411
219 834 389
396 511 670
980 649 582
234 761 481
219 513 844
313 362 277
538 550 590
46 570 667
736 370 288
895 7 994
168 233 722
661 136 740
667 530 505
743 903 577
799 604 628
1000 877 195
341 891 681
545 866 782
307 463 759
814 114 950
406 193 689
840 518 151
803 379 952
765 98 860
765 418 153
885 45 159
209 331 13
987 798 902
906 808 253
837 555 885
382 978 872
618 76 99
366 709 519
128 702 185
439 529 297
961 662 491
822 877 504
919 857 380
135 233 655
742 49 706
470 947 908
452 286 562
286 232 334
218 962 777
258 385 137
162 699 228
404 183 227
18 517 406
175 455 703
455 450 776
511 928 897
289 337 796
151 688 917
632 500 545
964 134 215
587 990 604
787 371 852
360 15 164
672 130 969
65 85 68
233 686 446
309 802 57
643 408 14
981 287 152
534 134 465
128 429 501
931 725 811
874 584 609
835 291 984
709 594 384
698 869 989
570 42 20
476 449 693
19 31 279
678 196 790
479 742 890
187 649 298
364 436 714
814 528 919
481 631 524
839 295 220
918 719 483
809 656 24
497 314 588
20 570 484
655 715 934
291 794 783
561 792 195
334 884 245
442 238 342
884 904 553
910 797 220
126 713 148
937 230 883
533 126 390
893 704 157
664 248 555
549 968 828
734 686 305
317 652 470
812 687 673
343 322 356
991 75 118
807 49 289
873 582 123
487 985 497
169 561 698
719 450 779
234 687 54
834 169 360
726 114 434
905 940 708
352 425 380
106 744 747
686 957 615
43 89 72
280 408 590
212 890 665
367 172 21
597 397 783
982 536 965
509 858 781
82 21 634
501 35 356
335 972 959
587 827 965
941 582 265
517 359 976
612 235 829
531 591 718
340 444 777
656 185 221
428 121 541
33 469 903
512 690 457
724 822 53
733 136 518
478 184 446
90 931 589
118 618 486
367 189 269
723 194 618
584 908 548
628 736 103
494 815 95
485 600 598
413 792 317
736 885 985
512 423 750
983 535 268
714 443 95
902 141 284
219 368 26
169 436 342
784 919 646
316 54 245
850 636 621
966 303 752
418 938 496
134 655 913
462 491 718
977 988 157
149 466 842
898 582 429
103 233 427
392 186 340
774 123 504
670 573 178
905 371 919
655 826 589
895 99 479
361 297 875
195 781 901
325 768 857
259 527 563
861 559 899
923 756 632
352 207 895
73 339 424
75 534 339
633 340 545
348 680 556
689 84 303
336 490 296
734 239 783
362 559 525
989 19 66
171 255 249
384 377 923
435 450 644
968 443 144
781 909 477
509 895 676
839 176 519
476 840 148
347 936 760
560 664 345
216 326 905
860 341 523
910 482 420
909 285 730
977 261 860
709 514 888
777 301 415
661 461 462
721 652 698
788 918 396
613 173 223
480 728 688
161 198 677
634 950 485
532 908 991
34 885 923
693 644 655
983 406 663
844 11 23
955 761 805
60 505 5
657 752 330
205 496 993
75 887 953
656 973 515
582 184 32
272 793 613
336 424 108
317 739 501
944 997 361
855 755 683
760 832 223
935 655 908
53 804 938
435 681 270
149 62 681
578 372 844
880 470 96
651 79 163
434 120 403
240 912 450
276 541 820
973 309 899
353 603 816
338 146 68
618 558 316
497 23 738
626 95 675
720 780 980
706 489 587
103 621 901
950 430 637
519 432 788
446 22 310
970 386 369
394 743 106
80 776 585
285 114 295
316 988 527
316 992 616
270 778 410
899 13 389
467 947 671
667 653 90
20 700 399
160 579 705
480 577 9
217 844 476
459 154 453
48 165 740
651 540 306
496 700 277
98 981 950
188 185 571
930 884 177
494 396 523
593 662 768
24 371 157
342 649 472
162 18 207
387 619 419
174 700 186
51 329 774
128 274 758
963 872 618
504 322 640
820 145 191
371 472 501
677 215 249
696 620 860
868 68 764
414 130 269
643 869 123
113 127 219
693 787 913
686 982 350
788 937 531
417 134 869
40 365 655
334 9 351
825 476 364
185 293 642
410 743 597
687 147 369
179 550 763
301 232 826
53 280 466
99 547 589
162 965 81
555 826 86
551 40 68
461 458 442
585 148 131
546 927 995
699 210 779
260 136 710
428 422 100
641 760 226
479 415 851
943 26 935
995 17 487
874 662 219
976 511 407
324 936 338
368 661 832
343 832 216
442 784 611
222 262 933
772 555 671
978 742 114
400 388 310
664 202 879
422 664 418
153 973 350
919 158 853
256 225 3
596 965 381
781 90 93
271 264 527
35 289 462
956 737 736
7 79 39
484 346 374
235 796 452
72 502 488
394 524 584
857 982 460
924 257 141
751 9 868
763 256 782
324 827 542
563 323 78
383 176 682
551 343 858
431 211 315
963 476 379
205 901 977
349 241 902
740 875 340
754 162 495
79 262 756
867 41 834
233 604 359
741 829 365
719 398 863
6 130 871
320 124 337
579 956 852
986 985 75
313 270 781
650 256 261
449 101 252
4 196 970
418 152 781
651 1000 260
804 649 830
653 988 747
965 827 374
752 530 23
892 398 715
900 867 368
408 904 669
918 529 183
165 11 331
974 210 222
1000 866 323
342 918 99
109 686 620
861 467 905
734 30 721
347 613 597
15 374 179
334 475 756
128 370 893
291 981 982
679 808 973
483 437 511
159 682 159
596 128 344
709 311 341
414 271 932
703 81 314
796 595 942
179 460 913
401 592 499
519 205 312
670 17 636
94 927 396
952 934 759
160 857 324
259 845 330
388 27 985
191 632 190
568 467 836
121 325 323
787 794 137
397 686 359
953 324 314
861 476 223
888 618 343
823 994 220
355 906 591
243 644 298
941 8 777
274 303 981
738 885 624
522 357 952
908 941 321
527 884 472
630 218 299
468 956 15
106 704 576
285 915 950
47 559 577
104 953 363
11 12 456
760 206 310
61 27 6
712 599 882
809 29 906
16 718 6
754 403 428
605 682 542
804 161 693
474 732 989
830 852 774
633 277 576
135 366 448
265 523 705
312 583 121
295 476 522
409 171 258
345 648 909
610 576 994
428 907 149
957 575 656
366 622 783
73 540 302
953 588 727
654 373 950
210 692 497
651 963 167
827 885 475
229 988 720
449 815 167
512 242 290
239 253 182
855 435 307
97 711 558
737 93 27
892 372 727
148 228 743
177 855 786
738 596 812
980 229 417
953 700 441
904 49 98
353 1000 369
988 763 294
132 759 11
782 645 731
985 650 637
86 854 531
762 692 839
447 404 173
738 572 520
771 798 456
486 725 475
144 844 407
699 578 908
58 45 146
891 977 283
146 389 668
249 644 808
818 390 496
625 70 583
851 705 47
786 982 68
408 46 981
152 442 829
7 515 31
935 58 753
111 189 337
728 468 655
904 34 379
772 471 539
910 795 106
466 204 883
212 394 164
206 62 724
280 942 142
453 87 623
156 42 845
30 518 777
371 137 398
671 305 753
200 460 277
297 713 494
977 551 814
472 478 91
818 537 136
314 172 589
878 276 879
176 46 975
14 514 461
388 854 287
181 498 619
414 496 43
336 753 996
752 833 21
741 330 822
373 348 480
555 421 59
857 678 316
345 546 816
68 271 924
563 726 942
438 529 555
737 655 975
92 17 968
148 984 325
401 305 513
837 429 869
922 279 382
324 666 431
991 362 580
284 102 553
887 836 540
788 882 618
102 793 723
639 772 948
742 382 262
168 843 704
441 922 89
68 76 778
839 804 55
67 996 777
205 37 840
631 301 178
434 629 205
477 318 919
34 89 231
792 722 523
248 707 605
709 706 815
485 968 92
866 27 611
59 5 725
924 816 548
326 322 581
885 434 683
525 306 468
720 846 245
503 906 660
882 775 539
463 451 472
230 30 982
997 625 958
233 476 556
988 776 633
310 755 938
195 621 101
479 225 359
692 967 269
569 263 853
399 114 606
452 893 227
307 28 74
622 901 905
191 952 889
935 402 66
505 925 338
323 462 4
569 864 188
245 577 693
570 193 579
450 897 823
581 225 821
706 311 861
57 5 253
349 244 348
359 258 97
361 206 866
629 843 617
912 792 278
355 464 738
928 870 981
481 193 317
231 480 811
749 27 599
354 701 9
940 383 125
719 870 661
330 269 291
49 220 944
757 643 211
439 141 58
126 636 660
36 412 496
864 308 46
977 279 847
940 402 573
386 976 145
879 911 624
422 197 197
22 4 144
897 922 257
916 496 104
203 350 898
143 5 750
115 918 494
328 401 139
136 385 374
266 31 264
998 101 729
803 561 492
298 34 515
158 933 750
464 258 330
41 505 736
982 902 850
502 587 481
340 414 445
946 325 421
433 115 287
502 316 634
261 407 292
203 66 323
769 130 576
355 788 767
144 582 43
908 361 51
399 275 554
944 714 811
838 907 450
773 450 34
531 316 778
212 896 666
679 860 691
981 652 101
738 203 148
412 7 406
875 751 605
93 406 383
613 386 120
642 351 738
946 742 935
444 523 305
845 238 559
911 417 164
922 877 395
209 568 559
261 1000 87
423 230 467
625 844 699
849 905 390
256 647 123
814 389 787
54 684 333
572 283 753
952 439 837
330 939 2
142 327 718
280 600 606
170 680 805
145 464 23
664 780 84
114 393 330
205 51 561
45 578 298
328 181 946
659 874 210
214 998 31
662 505 328
852 731 766
80 808 205
97 91 709
733 704 45
910 190 555
136 657 246
817 240 895
31 813 301
88 883 593
569 156 52
991 111 397
861 796 621
649 321 689
751 531 261
950 365 549
600 502 547
899 498 160
696 503 767
800 315 599
318 106 549
327 653 587
405 928 724
888 73 553
793 131 909
258 313 766
85 406 629
866 394 897
37 904 129
827 453 246
583 192 355
642 293 267
298 546 855
1 981 654
981 848 99
965 781 921
448 606 376
613 29 664
813 286 96
576 109 301
485 137 289
967 470 995
735 683 669
866 350 985
486 484 250
154 582 330
669 838 630
500 239 200
480 307 494
374 97 382
741 348 773
734 644 492
91 38 794
233 269 442
125 897 411
10 999 445
816 623 521
699 588 242
738 226 359
113 895 995
118 499 106
80 364 513
201 880 64
162 579 647
80 483 719
923 767 841
142 372 946
776 289 687
287 212 682
451 737 822
425 676 27
486 463 710
865 129 49
845 532 214
949 232 667
561 130 3
400 577 147
147 818 333
403 247 994
975 967 864
180 743 976
657 680 357
821 784 765
611 789 673
439 570 634
744 435 305
984 88 56
760 789 811
173 786 953
459 21 456
337 385 74
216 453 455
869 758 741
259 556 135
442 112 170
228 755 236
477 765 673
827 245 850
440 819 76
906 79 368
240 3 464
552 358 828
776 860 198
737 357 123
91 848 998
50 126 634
504 958 205
66 632 805
854 252 668
975 812 723
186 675 707
925 279 366
479 697 481
245 780 252
932 985 468
91 112 133
943 971 773
132 742 149
8 88 146
847 878 455
613 294 511
319 133 157
536 477 751
314 731 628
402 634 425
704 275 505
499 369 386
61 327 262
980 813 925
997 199 975
955 564 940
388 904 322
981 839 929
549 49 45
352 419 146
504 684 641
548 298 905
398 453 469
979 768 373
421 767 478
227 193 299
672 91 104
351 248 323
244 765 221
830 948 320
944 490 744
261 605 970
374 436 682
839 623 809
78 640 599
488 710 46
933 637 468
833 800 243
221 27 852
556 621 826
124 414 883
894 375 794
523 276 977
726 564 865
505 635 39
635 176 73
853 426 764
60 986 859
964 46 638
412 878 490
794 400 228
913 715 896
782 231 266
233 553 50
308 719 476
524 699 862
320 748 333
76 389 344
734 903 330
961 199 908
761 340 1000
43 994 992
473 632 131
604 326 951
973 701 49
452 984 125
658 625 626
318 536 46
808 770 14
705 90 488
649 422 789
852 376 208
538 112 959
754 813 370
357 824 559
311 634 676
273 557 477
742 766 531
680 928 409
18 992 243
144 733 742
897 996 700
517 670 563
558 52 895
610 172 549
765 369 256
563 638 521
81 713 91
282 422 469
759 931 27
606 552 255
622 160 273
347 632 122
689 690 429
438 605 394
329 340 200
41 209 760
597 571 277
170 245 98
975 905 669
676 110 182
63 859 108
177 65 927
989 788 221
553 925 202
447 247 742
427 170 513
837 692 387
249 505 998
482 370 647
931 54 734
207 10 687
654 825 99
291 980 1
451 575 807
992 414 665
910 252 530
8 163 160
768 932 937
132 880 560
471 881 961
330 280 906
667 672 430
925 830 506
149 264 757
788 480 179
561 525 167
366 922 825
718 273 383
509 930 628
402 671 809
351 585 713
926 287 152
114 715 360
362 638 803
465 86 473
929 737 413
467 285 558
469 177 103
607 533 15
137 158 105
235 781 884
417 204 116
197 782 287
366 864 204
527 867 476
943 694 362
521 719 484
182 522 345
387 254 3
31 988 143
731 161 486
17 505 225
474 384 687
195 384 287
84 400 902
218 715 972
928 519 548
36 484 998
987 326 16
58 265 55
541 36 979
822 42 137
845 61 420
966 272 828
787 931 85
408 11 412
10 717 60
866 103 788
357 399 709
501 215 340
920 655 512
354 878 337
697 104 211
983 364 146
916 337 606
288 186 612
498 465 295
702 881 197
833 231 47
400 126 311
883 38 201
475 869 517
729 894 687
837 38 409
563 622 957
105 824 677
580 383 960
650 623 478
370 550 305
526 918 891
83 581 808
999 751 767
936 692 9
143 860 274
551 485 477
89 496 224
758 424 576
863 829 570
226 680 398
149 118 373
553 81 788
907 947 540
277 456 83
48 781 267
497 169 412
873 812 717
671 390 254
242 690 388
608 770 42
536 206 939
40 650 623
979 372 881
793 834 269
8 511 61
918 666 316
869 699 920
880 252 258
988 562 809
683 758 892
317 262 432
839 91 640
350 230 267
954 498 106
561 633 596
778 669 426
648 205 432
678 855 134
775 373 359
600 538 642
806 287 263
188 24 285
329 330 580
272 884 605
931 551 305
752 946 980
149 39 747
271 267 563
383 405 119
627 226 628
985 698 366
80 183 900
990 182 112
140 503 104
584 787 337
113 19 972
336 812 364
11 559 331
199 496 644
783 612 778
472 771 262
654 795 258
795 975 940
921 45 500
909 405 894
749 137 471
45 521 655
220 244 218
932 170 839
245 575 512
906 406 422
241 708 46
